Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,OFFRD,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,N7HRC,449.250000,-,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
2,SMPX02,146.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,SMPX03,147.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,2M C,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,ARES,147.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,FARNS,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,BUTTER,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
8,70CM C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,LAKEMT,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,AREC01,146.880000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
11,AREC02,146.700000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
12,SMPX04,446.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,SMPX05,447.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,ARES01,438.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,ARES02,438.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,CURRY,447.900000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
17,ARESSX,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,FARNS,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
